Nodes,Shards,Sharded Latency (ms),Non-Sharded Latency (ms),Local Emulation Latency (ms),Sharded TPS,Non-Sharded TPS,Total Reports
10,1,627.8,1353.36,690.58,159.29,73.89,100
20,2,629.8,1929.36,755.76,317.56,100.0,200
30,3,631.8,2470.09,821.34,474.84,100.0,300
40,4,633.8,2996.36,1152.7,631.12,100.0,400
50,5,635.8,3514.73,1412.36,786.42,100.0,500
60,6,637.8,4028.09,1799.94,940.74,100.0,600
70,7,639.8,4537.99,2378.94,1094.1,100.0,700
80,8,641.8,5045.36,3244.41,1246.5,100.0,800
90,9,643.8,5550.81,4538.54,1397.96,100.0,900
100,10,645.8,6054.73,6474.12,1548.48,100.0,1000
110,11,647.8,6557.42,9369.55,1698.06,100.0,1100
120,12,649.8,7059.09,13701.3,1846.73,100.0,1200
130,13,651.8,7559.9,20182.28,1994.49,100.0,1300
140,14,653.8,8059.99,29879.26,2141.34,100.0,1400
150,15,655.8,8559.45,44388.44,2287.3,100.0,1500
160,16,657.8,9058.36,66098.2,2432.36,100.0,1600
170,17,659.8,9556.8,98582.23,2576.55,100.0,1700
180,18,661.8,10054.81,147187.72,2719.87,100.0,1800
190,19,663.8,10552.44,219915.38,2862.32,100.0,1900
200,20,665.8,11049.73,328736.22,3003.92,100.0,2000
